# genomeia body export
# cells=182 links=478 bone=182 muscle=0
# P <genomeId> <x> <y> <radius> <cellType> <bone> <muscle>
# L <genomeIdA> <genomeIdB>
P 102 62.2000 60.8823 0.5000 2 1 0
P 103 62.2000 61.9215 0.5000 2 1 0
P 104 62.2000 62.9608 0.5000 2 1 0
P 105 62.2000 64.0000 0.5000 2 1 0
P 106 62.2000 65.0392 0.5000 2 1 0
P 107 62.2000 66.0785 0.5000 2 1 0
P 108 62.2000 67.1177 0.5000 2 1 0
P 109 62.2000 68.1569 0.5000 2 1 0
P 110 65.8000 68.1569 0.5000 2 1 0
P 116 65.5000 68.6765 0.5000 2 1 0
P 115 64.9000 68.6765 0.5000 2 1 0
P 114 64.3000 68.6765 0.5000 2 1 0
P 113 63.7000 68.6765 0.5000 2 1 0
P 112 63.1000 68.6765 0.5000 2 1 0
P 111 62.5000 68.6765 0.5000 2 1 0
P 117 62.2000 69.1962 0.5000 2 1 0
P 118 62.8000 69.1962 0.5000 2 1 0
P 119 63.4000 69.1962 0.5000 2 1 0
P 120 64.0000 69.1962 0.5000 2 1 0
P 121 64.6000 69.1962 0.5000 2 1 0
P 122 65.2000 69.1962 0.5000 2 1 0
P 123 65.8000 69.1962 0.5000 2 1 0
P 124 63.1000 69.7158 0.5000 2 1 0
P 125 62.5000 69.7158 0.5000 2 1 0
P 126 63.7000 69.7158 0.5000 2 1 0
P 127 64.3000 69.7158 0.5000 2 1 0
P 128 64.9000 69.7158 0.5000 2 1 0
P 129 65.5000 69.7158 0.5000 2 1 0
P 130 62.2000 70.2354 0.5000 2 1 0
P 131 62.8000 70.2354 0.5000 2 1 0
P 132 63.4000 70.2354 0.5000 2 1 0
P 133 64.0000 70.2354 0.5000 2 1 0
P 134 64.6000 70.2354 0.5000 2 1 0
P 135 65.2000 70.2354 0.5000 2 1 0
P 136 65.8000 70.2354 0.5000 2 1 0
P 137 62.5000 70.7550 0.5000 2 1 0
P 138 63.1000 70.7550 0.5000 2 1 0
P 139 63.7000 70.7550 0.5000 2 1 0
P 140 64.3000 70.7550 0.5000 2 1 0
P 141 64.9000 70.7550 0.5000 2 1 0
P 142 65.5000 70.7550 0.5000 2 1 0
P 143 65.8000 71.2746 0.5000 2 1 0
P 144 65.2000 71.2746 0.5000 2 1 0
P 145 64.6000 71.2746 0.5000 2 1 0
P 146 64.0000 71.2746 0.5000 2 1 0
P 147 63.4000 71.2746 0.5000 2 1 0
P 148 62.8000 71.2746 0.5000 2 1 0
P 149 62.2000 71.2746 0.5000 2 1 0
P 150 62.5000 71.7942 0.5000 2 1 0
P 151 63.1000 71.7942 0.5000 2 1 0
P 152 63.7000 71.7942 0.5000 2 1 0
P 153 64.3000 71.7942 0.5000 2 1 0
P 154 64.9000 71.7942 0.5000 2 1 0
P 155 65.5000 71.7942 0.5000 2 1 0
P 156 62.2000 72.3138 0.5000 2 1 0
P 157 62.8000 72.3138 0.5000 2 1 0
P 158 63.4000 72.3138 0.5000 2 1 0
P 159 64.0000 72.3138 0.5000 2 1 0
P 160 64.6000 72.3138 0.5000 2 1 0
P 161 65.2000 72.3138 0.5000 2 1 0
P 162 65.8000 72.3138 0.5000 2 1 0
P 163 62.5000 72.8335 0.5000 2 1 0
P 164 63.1000 72.8335 0.5000 2 1 0
P 165 63.7000 72.8335 0.5000 2 1 0
P 166 64.3000 72.8335 0.5000 2 1 0
P 167 64.9000 72.8335 0.5000 2 1 0
P 168 65.5000 72.8335 0.5000 2 1 0
P 169 62.2000 73.3531 0.5000 2 1 0
P 170 62.8000 73.3531 0.5000 2 1 0
P 171 63.4000 73.3531 0.5000 2 1 0
P 172 64.0000 73.3531 0.5000 2 1 0
P 173 64.6000 73.3531 0.5000 2 1 0
P 174 65.2000 73.3531 0.5000 2 1 0
P 175 65.8000 73.3531 0.5000 2 1 0
P 176 62.5000 73.8727 0.5000 2 1 0
P 177 63.1000 73.8727 0.5000 2 1 0
P 178 63.7000 73.8727 0.5000 2 1 0
P 179 64.3000 73.8727 0.5000 2 1 0
P 180 64.9000 73.8727 0.5000 2 1 0
P 181 65.5000 73.8727 0.5000 2 1 0
L 1 0
L 2 1
L 3 0
L 4 0
L 4 3
L 5 0
L 5 1
L 6 1
L 6 2
L 5 4
L 6 5
L 7 0
L 7 3
L 8 0
L 8 1
L 9 1
L 9 2
L 10 5
L 10 6
L 11 4
L 11 5
L 8 7
L 9 8
L 11 10
L 12 4
L 12 3
L 13 4
L 13 11
L 14 7
L 14 3
L 15 8
L 15 7
L 16 8
L 16 9
L 13 12
L 16 15
L 17 14
L 17 7
L 17 15
L 18 12
L 18 14
L 18 3
L 19 12
L 19 13
L 20 6
L 20 10
L 21 17
L 21 14
L 22 16
L 22 9
L 23 13
L 23 11
L 24 19
L 24 13
L 25 10
L 25 11
L 26 20
L 26 10
L 27 17
L 27 15
L 28 21
L 28 17
L 29 16
L 29 15
L 30 16
L 30 22
L 24 23
L 25 23
L 26 25
L 28 27
L 29 27
L 30 29
L 31 28
L 32 27
L 32 28
L 33 29
L 33 27
L 34 29
L 34 30
L 35 24
L 36 23
L 36 24
L 37 25
L 37 23
L 38 25
L 38 26
L 32 31
L 33 32
L 34 33
L 36 35
L 37 36
L 38 37
L 39 34
L 39 30
L 40 26
L 40 38
L 41 31
L 41 32
L 42 32
L 42 33
L 43 33
L 43 34
L 44 34
L 44 39
L 45 35
L 45 36
L 46 36
L 46 37
L 47 37
L 47 38
L 48 40
L 48 38
L 42 41
L 43 42
L 44 43
L 46 45
L 47 46
L 48 47
L 49 45
L 50 45
L 50 46
L 51 46
L 51 47
L 52 47
L 52 48
L 50 49
L 51 50
L 52 51
L 53 48
L 53 52
L 54 41
L 55 41
L 55 42
L 56 42
L 56 43
L 57 43
L 57 44
L 55 54
L 56 55
L 57 56
L 58 57
L 58 44
L 59 49
L 59 50
L 60 50
L 60 51
L 61 52
L 61 51
L 62 52
L 62 53
L 63 56
L 63 55
L 64 54
L 64 55
L 65 56
L 65 57
L 66 57
L 66 58
L 60 59
L 61 60
L 62 61
L 64 63
L 65 63
L 66 65
L 67 64
L 68 63
L 68 64
L 69 65
L 69 63
L 70 65
L 70 66
L 71 62
L 72 61
L 72 62
L 73 60
L 73 61
L 74 59
L 74 60
L 68 67
L 69 68
L 70 69
L 72 71
L 73 72
L 74 73
L 75 59
L 75 74
L 76 70
L 76 66
L 77 64
L 77 54
L 77 67
L 78 41
L 78 54
L 78 31
L 79 28
L 79 21
L 79 31
L 80 21
L 80 18
L 80 14
L 81 12
L 81 18
L 81 19
L 82 24
L 82 19
L 82 35
L 83 49
L 83 45
L 83 35
L 84 49
L 84 75
L 84 59
L 85 53
L 85 62
L 85 71
L 86 48
L 86 40
L 86 53
L 87 20
L 87 40
L 87 26
L 88 20
L 88 6
L 88 2
L 89 9
L 89 22
L 89 2
L 90 30
L 90 22
L 90 39
L 91 44
L 91 58
L 91 39
L 92 76
L 92 66
L 92 58
L 93 77
L 93 67
L 94 76
L 94 92
L 95 92
L 95 58
L 95 91
L 96 90
L 96 39
L 96 91
L 97 89
L 97 22
L 97 90
L 98 88
L 98 89
L 98 2
L 99 88
L 99 20
L 99 87
L 100 40
L 100 86
L 100 87
L 101 53
L 101 85
L 101 86
L 102 77
L 102 54
L 102 78
L 103 78
L 103 31
L 103 79
L 104 80
L 104 21
L 104 79
L 105 80
L 105 81
L 105 18
L 106 81
L 106 82
L 106 19
L 107 82
L 107 35
L 107 83
L 108 84
L 108 49
L 108 83
L 109 84
L 109 75
L 110 85
L 110 71
L 116 71
L 116 110
L 115 72
L 115 71
L 114 72
L 114 73
L 113 73
L 113 74
L 112 74
L 112 75
L 111 75
L 111 109
L 116 115
L 115 114
L 114 113
L 113 112
L 112 111
L 117 111
L 118 111
L 118 112
L 119 113
L 119 112
L 120 113
L 120 114
L 121 114
L 121 115
L 122 115
L 122 116
L 118 117
L 119 118
L 120 119
L 121 120
L 122 121
L 123 116
L 123 122
L 124 118
L 124 119
L 125 117
L 125 118
L 126 120
L 126 119
L 127 120
L 127 121
L 128 121
L 128 122
L 129 122
L 129 123
L 125 124
L 126 124
L 127 126
L 128 127
L 129 128
L 130 125
L 131 125
L 131 124
L 132 124
L 132 126
L 133 126
L 133 127
L 134 128
L 134 127
L 135 128
L 135 129
L 131 130
L 132 131
L 133 132
L 134 133
L 135 134
L 136 129
L 136 135
L 137 130
L 137 131
L 138 132
L 138 131
L 139 132
L 139 133
L 140 133
L 140 134
L 141 134
L 141 135
L 142 136
L 142 135
L 138 137
L 139 138
L 140 139
L 141 140
L 142 141
L 143 142
L 144 141
L 144 142
L 145 140
L 145 141
L 146 140
L 146 139
L 147 138
L 147 139
L 148 137
L 148 138
L 144 143
L 145 144
L 146 145
L 147 146
L 148 147
L 149 137
L 149 148
L 150 148
L 150 149
L 151 148
L 151 147
L 152 146
L 152 147
L 153 145
L 153 146
L 154 144
L 154 145
L 155 144
L 155 143
L 151 150
L 152 151
L 153 152
L 154 153
L 155 154
L 156 150
L 157 150
L 157 151
L 158 151
L 158 152
L 159 152
L 159 153
L 160 153
L 160 154
L 161 154
L 161 155
L 157 156
L 158 157
L 159 158
L 160 159
L 161 160
L 162 155
L 162 161
L 163 156
L 163 157
L 164 157
L 164 158
L 165 158
L 165 159
L 166 160
L 166 159
L 167 160
L 167 161
L 168 161
L 168 162
L 164 163
L 165 164
L 166 165
L 167 166
L 168 167
L 169 163
L 170 163
L 170 164
L 171 164
L 171 165
L 172 165
L 172 166
L 173 166
L 173 167
L 174 167
L 174 168
L 170 169
L 171 170
L 172 171
L 173 172
L 174 173
L 175 168
L 175 174
L 176 169
L 176 170
L 177 170
L 177 171
L 178 172
L 178 171
L 179 172
L 179 173
L 180 173
L 180 174
L 181 174
L 181 175
L 177 176
L 178 177
L 179 178
L 180 179
L 181 180
