# genomeia body export
# cells=370 links=889 bone=113 muscle=45
# P <genomeId> <x> <y> <radius> <cellType> <bone> <muscle>
# L <genomeIdA> <genomeIdB>
P 102 63.1000 63.4804 0.5000 2 1 0
P 103 63.7000 63.4804 0.5000 2 1 0
P 104 64.3000 63.4804 0.5000 2 1 0
P 105 65.5000 63.4804 0.5000 2 1 0
P 106 66.1000 63.4804 0.5000 2 1 0
P 107 66.7000 63.4804 0.5000 2 1 0
P 108 67.3000 63.4804 0.5000 2 1 0
P 109 67.9000 63.4804 0.5000 2 1 0
P 110 68.5000 63.4804 0.5000 2 1 0
P 111 69.1000 63.4804 0.5000 2 1 0
P 112 69.7000 63.4804 0.5000 2 1 0
P 113 70.3000 63.4804 0.5000 1 0 0
P 114 70.9000 63.4804 0.5000 1 0 0
P 115 71.5000 64.5196 0.5000 1 0 0
P 116 71.2000 65.0392 0.5000 1 0 0
P 117 70.9000 65.5588 0.5000 2 1 0
P 118 70.6000 66.0785 0.5000 2 1 0
P 119 70.3000 66.5981 0.5000 2 1 0
P 120 70.0000 67.1177 0.5000 2 1 0
P 121 69.7000 67.6373 0.5000 2 1 0
P 122 69.4000 68.1569 0.5000 2 1 0
P 123 69.1000 68.6765 0.5000 2 1 0
P 124 68.8000 69.1962 0.5000 2 1 0
P 125 68.5000 69.7158 0.5000 2 1 0
P 126 68.2000 70.2354 0.5000 2 1 0
P 127 67.9000 70.7550 0.5000 2 1 0
P 128 67.6000 71.2746 0.5000 2 1 0
P 129 67.3000 71.7942 0.5000 2 1 0
P 130 67.0000 72.3138 0.5000 2 1 0
P 131 66.7000 72.8335 0.5000 2 1 0
P 132 66.4000 73.3531 0.5000 0 0 0
P 133 66.1000 73.8727 0.5000 2 1 0
P 134 65.8000 74.3923 0.5000 2 1 0
P 135 65.5000 74.9119 0.5000 2 1 0
P 136 65.2000 75.4315 0.5000 2 1 0
P 137 64.9000 75.9511 0.5000 2 1 0
P 138 64.6000 76.4708 0.5000 2 1 0
P 139 69.4000 65.0392 0.5000 5 0 1
P 140 69.1000 65.5588 0.5000 5 0 1
P 141 68.8000 65.0392 0.5000 5 0 1
P 142 68.8000 66.0785 0.5000 5 0 1
P 143 68.2000 65.0392 0.5000 5 0 1
P 144 67.6000 65.0392 0.5000 5 0 1
P 145 68.5000 66.5981 0.5000 5 0 1
P 146 68.2000 67.1177 0.5000 5 0 1
P 147 67.0000 65.0392 0.5000 5 0 1
P 148 67.9000 67.6373 0.5000 5 0 1
P 149 66.4000 65.0392 0.5000 5 0 1
P 150 71.8000 64.0000 0.5000 0 0 0
P 151 71.5000 63.4804 0.5000 0 0 0
P 152 70.6000 62.9608 0.5000 0 0 0
P 153 70.0000 62.9608 0.5000 0 0 0
P 154 69.4000 62.9608 0.5000 0 0 0
P 155 71.5000 65.5588 0.5000 0 0 0
P 156 71.2000 66.0785 0.5000 0 0 0
P 157 70.9000 66.5981 0.5000 0 0 0
P 158 68.8000 62.9608 0.5000 0 0 0
P 159 71.8000 65.0392 0.5000 0 0 0
P 160 72.1000 64.5196 0.5000 0 0 0
P 161 71.2000 62.9608 0.5000 0 0 0
P 162 70.3000 62.4412 0.5000 0 0 0
P 163 69.7000 62.4412 0.5000 0 0 0
P 164 69.1000 62.4412 0.5000 0 0 0
P 165 71.8000 66.0785 0.5000 0 0 0
P 166 71.5000 66.5981 0.5000 0 0 0
P 167 70.6000 67.1177 0.5000 0 0 0
P 168 70.9000 62.4412 0.5000 0 0 0
P 169 72.1000 65.5588 0.5000 0 0 0
P 170 72.4000 65.0392 0.5000 0 0 0
P 171 71.2000 67.1177 0.5000 0 0 0
P 172 68.5000 65.5588 0.5000 5 0 1
P 173 67.3000 65.5588 0.5000 5 0 1
P 174 68.2000 66.0785 0.5000 5 0 1
P 175 67.9000 65.5588 0.5000 5 0 1
P 176 67.9000 66.5981 0.5000 5 0 1
P 177 67.6000 67.1177 0.5000 5 0 1
P 178 65.8000 65.0392 0.5000 5 0 1
P 179 66.7000 65.5588 0.5000 5 0 1
P 180 67.6000 66.0785 0.5000 5 0 1
P 181 67.3000 66.5981 0.5000 5 0 1
P 182 67.0000 67.1177 0.5000 5 0 1
P 183 67.0000 66.0785 0.5000 5 0 1
P 184 66.1000 65.5588 0.5000 5 0 1
P 185 67.6000 68.1569 0.5000 5 0 1
P 186 67.3000 67.6373 0.5000 5 0 1
P 187 65.2000 65.0392 0.5000 5 0 1
P 188 66.4000 66.0785 0.5000 5 0 1
P 189 66.7000 66.5981 0.5000 5 0 1
P 190 65.5000 65.5588 0.5000 5 0 1
P 191 66.4000 67.1177 0.5000 5 0 1
P 192 66.7000 67.6373 0.5000 5 0 1
P 193 67.0000 68.1569 0.5000 5 0 1
P 194 67.3000 68.6765 0.5000 5 0 1
P 195 65.8000 66.0785 0.5000 5 0 1
P 196 66.1000 66.5981 0.5000 5 0 1
P 197 64.6000 65.0392 0.5000 5 0 1
P 198 64.9000 65.5588 0.5000 5 0 1
P 199 65.8000 67.1177 0.5000 5 0 1
P 200 66.1000 67.6373 0.5000 5 0 1
P 201 66.4000 68.1569 0.5000 5 0 1
P 202 66.7000 68.6765 0.5000 5 0 1
P 203 67.0000 69.1962 0.5000 5 0 1
P 204 65.2000 66.0785 0.5000 5 0 1
P 205 65.5000 66.5981 0.5000 5 0 1
P 206 72.4000 64.0000 0.5000 4 0 0
P 207 72.1000 63.4804 0.5000 4 0 0
P 208 57.1000 64.5196 0.5000 0 0 0
P 209 56.8000 64.0000 0.5000 0 0 0
P 210 57.1000 63.4804 0.5000 0 0 0
P 211 63.4000 76.4708 0.5000 0 0 0
P 212 63.7000 76.9904 0.5000 0 0 0
P 213 64.3000 76.9904 0.5000 0 0 0
P 214 56.2000 64.0000 0.5000 0 0 0
P 215 56.5000 64.5196 0.5000 0 0 0
P 216 63.1000 76.9904 0.5000 0 0 0
P 217 63.4000 77.5100 0.5000 0 0 0
P 218 55.9000 64.5196 0.5000 0 0 0
P 219 55.6000 64.0000 0.5000 0 0 0
P 220 62.8000 77.5100 0.5000 0 0 0
P 221 63.1000 78.0296 0.5000 0 0 0
P 222 55.3000 64.5196 0.5000 0 0 0
P 223 55.0000 64.0000 0.5000 0 0 0
P 224 62.5000 78.0296 0.5000 0 0 0
P 225 62.8000 78.5492 0.5000 0 0 0
P 226 54.7000 64.5196 0.5000 0 0 0
P 227 54.4000 64.0000 0.5000 0 0 0
P 228 62.2000 78.5492 0.5000 0 0 0
P 229 62.5000 79.0688 0.5000 0 0 0
P 230 53.8000 64.0000 0.5000 0 0 0
P 231 54.1000 64.5196 0.5000 0 0 0
P 232 61.9000 79.0688 0.5000 0 0 0
P 233 62.2000 79.5885 0.5000 0 0 0
P 234 53.2000 64.0000 0.5000 0 0 0
P 235 53.5000 64.5196 0.5000 0 0 0
P 236 61.6000 79.5885 0.5000 0 0 0
P 237 61.9000 80.1081 0.5000 0 0 0
P 238 52.9000 64.5196 0.5000 0 0 0
P 239 61.3000 80.1081 0.5000 0 0 0
P 240 52.3000 64.5196 0.5000 0 0 0
P 241 61.0000 80.6277 0.5000 0 0 0
P 242 51.7000 64.5196 0.5000 0 0 0
P 243 60.7000 81.1473 0.5000 0 0 0
P 244 51.1000 64.5196 0.5000 0 0 0
P 245 60.4000 81.6669 0.5000 0 0 0
P 246 52.6000 64.0000 0.5000 0 0 0
P 247 52.0000 64.0000 0.5000 0 0 0
P 248 51.4000 64.0000 0.5000 0 0 0
P 249 50.8000 64.0000 0.5000 0 0 0
P 250 61.6000 80.6277 0.5000 0 0 0
P 251 61.3000 81.1473 0.5000 0 0 0
P 252 61.0000 81.6669 0.5000 0 0 0
P 253 60.7000 82.1865 0.5000 0 0 0
P 254 50.5000 64.5196 0.5000 0 0 0
P 255 60.1000 82.1865 0.5000 0 0 0
P 256 60.4000 82.7061 0.5000 0 0 0
P 257 59.8000 82.7061 0.5000 0 0 0
P 258 50.2000 64.0000 0.5000 0 0 0
P 259 49.9000 64.5196 0.5000 0 0 0
P 260 49.6000 64.0000 0.5000 0 0 0
P 261 49.3000 64.5196 0.5000 0 0 0
P 262 59.5000 83.2258 0.5000 0 0 0
P 263 60.1000 83.2258 0.5000 0 0 0
P 264 56.5000 63.4804 0.5000 0 0 0
P 265 55.9000 63.4804 0.5000 0 0 0
P 266 55.3000 63.4804 0.5000 0 0 0
P 267 64.0000 77.5100 0.5000 0 0 0
P 268 63.7000 78.0296 0.5000 0 0 0
P 269 63.4000 78.5492 0.5000 0 0 0
P 270 63.1000 79.0688 0.5000 0 0 0
P 271 62.8000 79.5885 0.5000 0 0 0
P 272 54.7000 63.4804 0.5000 0 0 0
P 273 54.1000 63.4804 0.5000 0 0 0
P 274 48.7000 64.5196 0.5000 0 0 0
P 275 49.0000 64.0000 0.5000 0 0 0
P 276 59.8000 83.7454 0.5000 0 0 0
P 277 59.2000 83.7454 0.5000 0 0 0
P 278 58.6000 62.9608 0.5000 0 0 0
P 279 59.2000 62.9608 0.5000 0 0 0
P 280 65.5000 75.9511 0.5000 0 0 0
P 281 65.8000 75.4315 0.5000 0 0 0
P 282 58.9000 62.4412 0.5000 0 0 0
P 283 58.3000 62.4412 0.5000 0 0 0
P 284 66.1000 75.9511 0.5000 0 0 0
P 285 65.8000 76.4708 0.5000 0 0 0
P 286 58.6000 61.9215 0.5000 0 0 0
P 287 58.0000 61.9215 0.5000 0 0 0
P 288 66.4000 76.4708 0.5000 0 0 0
P 289 66.1000 76.9904 0.5000 0 0 0
P 290 58.3000 61.4019 0.5000 0 0 0
P 291 57.7000 61.4019 0.5000 0 0 0
P 292 66.7000 76.9904 0.5000 0 0 0
P 293 66.4000 77.5100 0.5000 0 0 0
P 294 57.4000 61.9215 0.5000 0 0 0
P 295 65.8000 77.5100 0.5000 0 0 0
P 296 57.1000 61.4019 0.5000 0 0 0
P 297 66.1000 78.0296 0.5000 0 0 0
P 298 56.8000 61.9215 0.5000 0 0 0
P 299 65.5000 78.0296 0.5000 0 0 0
P 300 65.8000 78.5492 0.5000 0 0 0
P 301 56.5000 61.4019 0.5000 0 0 0
P 302 56.2000 61.9215 0.5000 0 0 0
P 303 55.9000 61.4019 0.5000 0 0 0
P 304 65.2000 78.5492 0.5000 0 0 0
P 305 65.5000 79.0688 0.5000 0 0 0
P 306 55.3000 61.4019 0.5000 0 0 0
P 307 55.6000 61.9215 0.5000 0 0 0
P 308 65.2000 79.5885 0.5000 0 0 0
P 309 64.9000 79.0688 0.5000 0 0 0
P 310 55.0000 61.9215 0.5000 0 0 0
P 311 54.7000 61.4019 0.5000 0 0 0
P 312 64.6000 79.5885 0.5000 0 0 0
P 313 64.9000 80.1081 0.5000 0 0 0
P 314 54.1000 61.4019 0.5000 0 0 0
P 315 54.4000 61.9215 0.5000 0 0 0
P 316 64.3000 80.1081 0.5000 0 0 0
P 317 64.6000 80.6277 0.5000 0 0 0
P 318 53.8000 61.9215 0.5000 0 0 0
P 319 53.5000 61.4019 0.5000 0 0 0
P 320 64.0000 80.6277 0.5000 0 0 0
P 321 64.3000 81.1473 0.5000 0 0 0
P 322 53.2000 61.9215 0.5000 0 0 0
P 323 52.9000 61.4019 0.5000 0 0 0
P 324 63.7000 81.1473 0.5000 0 0 0
P 325 64.0000 81.6669 0.5000 0 0 0
P 326 68.2000 62.9608 0.5000 0 0 0
P 327 68.5000 62.4412 0.5000 0 0 0
P 328 67.6000 62.9608 0.5000 0 0 0
P 329 70.3000 67.6373 0.5000 0 0 0
P 330 70.0000 68.1569 0.5000 0 0 0
P 331 71.8000 62.9608 0.5000 0 0 0
P 332 71.5000 62.4412 0.5000 0 0 0
P 333 72.7000 64.5196 0.5000 0 0 0
P 334 72.4000 62.9608 0.5000 0 0 0
P 335 72.7000 63.4804 0.5000 0 0 0
P 336 72.1000 62.4412 0.5000 0 0 0
P 337 73.0000 64.0000 0.5000 0 0 0
P 338 73.0000 62.9608 0.5000 0 0 0
P 339 72.7000 62.4412 0.5000 0 0 0
P 340 73.3000 63.4804 0.5000 0 0 0
P 341 73.3000 62.4412 0.5000 0 0 0
P 342 73.6000 62.9608 0.5000 0 0 0
P 343 73.9000 62.4412 0.5000 0 0 0
P 344 63.7000 82.1865 0.5000 0 0 0
P 345 63.4000 81.6669 0.5000 0 0 0
P 346 52.6000 61.9215 0.5000 0 0 0
P 347 52.3000 61.4019 0.5000 0 0 0
P 348 52.0000 61.9215 0.5000 0 0 0
P 349 51.7000 61.4019 0.5000 0 0 0
P 350 63.1000 82.1865 0.5000 0 0 0
P 351 63.4000 82.7061 0.5000 0 0 0
P 352 51.1000 61.4019 0.5000 0 0 0
P 353 51.4000 61.9215 0.5000 0 0 0
P 354 62.8000 82.7061 0.5000 0 0 0
P 355 63.1000 83.2258 0.5000 0 0 0
P 356 50.5000 61.4019 0.5000 0 0 0
P 357 50.8000 61.9215 0.5000 0 0 0
P 358 62.5000 83.2258 0.5000 0 0 0
P 359 62.8000 83.7454 0.5000 0 0 0
P 360 49.9000 61.4019 0.5000 0 0 0
P 361 50.2000 61.9215 0.5000 0 0 0
P 362 62.2000 83.7454 0.5000 0 0 0
P 363 62.5000 84.2650 0.5000 0 0 0
P 364 59.8000 62.9608 0.5000 0 0 0
P 365 59.5000 62.4412 0.5000 0 0 0
P 366 59.2000 61.9215 0.5000 0 0 0
P 367 66.1000 74.9119 0.5000 0 0 0
P 368 66.4000 75.4315 0.5000 0 0 0
P 369 66.7000 75.9511 0.5000 0 0 0
L 1 0
L 2 1
L 3 0
L 4 3
L 5 2
L 6 4
L 7 5
L 8 6
L 9 7
L 10 8
L 11 9
L 12 10
L 13 11
L 14 12
L 15 13
L 16 14
L 17 15
L 18 16
L 19 17
L 20 18
L 21 19
L 22 20
L 23 21
L 24 21
L 24 23
L 25 24
L 26 25
L 27 26
L 28 27
L 29 28
L 30 29
L 31 30
L 32 31
L 33 32
L 34 33
L 35 34
L 36 35
L 37 36
L 38 37
L 39 38
L 40 39
L 41 40
L 42 41
L 43 42
L 44 43
L 45 44
L 46 45
L 47 46
L 48 20
L 48 22
L 49 20
L 49 18
L 50 16
L 50 18
L 51 16
L 51 14
L 52 12
L 52 14
L 53 12
L 53 10
L 54 8
L 54 10
L 55 8
L 55 6
L 56 4
L 56 6
L 57 4
L 57 3
L 58 0
L 58 3
L 59 0
L 59 1
L 60 1
L 60 2
L 61 1
L 61 2
L 62 5
L 62 2
L 63 5
L 63 7
L 64 9
L 64 7
L 65 9
L 65 11
L 66 13
L 66 11
L 67 13
L 67 15
L 68 17
L 68 15
L 69 17
L 69 19
L 70 24
L 70 25
L 70 19
L 70 21
L 71 25
L 71 26
L 72 26
L 72 27
L 73 28
L 73 27
L 74 28
L 74 29
L 75 29
L 75 30
L 76 30
L 76 31
L 77 32
L 77 31
L 78 32
L 78 33
L 79 33
L 79 34
L 80 34
L 80 35
L 81 36
L 81 35
L 82 36
L 82 37
L 83 37
L 83 38
L 84 38
L 84 39
L 85 40
L 85 39
L 86 40
L 86 41
L 87 41
L 87 42
L 88 42
L 88 43
L 89 44
L 89 43
L 90 44
L 90 45
L 91 45
L 91 46
L 92 46
L 92 47
L 49 48
L 50 49
L 51 50
L 52 51
L 53 52
L 54 53
L 55 54
L 56 55
L 57 56
L 58 57
L 59 58
L 60 59
L 62 60
L 63 62
L 64 63
L 65 64
L 66 65
L 67 66
L 68 67
L 69 68
L 70 69
L 71 69
L 71 70
L 72 71
L 73 72
L 74 73
L 75 74
L 76 75
L 77 76
L 78 77
L 79 78
L 80 79
L 81 80
L 82 81
L 83 82
L 84 83
L 85 84
L 86 85
L 87 86
L 88 87
L 89 88
L 90 89
L 91 90
L 92 91
L 93 20
L 93 18
L 94 20
L 94 22
L 95 16
L 95 18
L 96 16
L 96 14
L 97 12
L 97 14
L 98 12
L 98 10
L 99 8
L 99 10
L 100 8
L 100 6
L 101 4
L 101 6
L 102 4
L 102 3
L 103 0
L 103 3
L 104 0
L 104 1
L 104 61
L 105 61
L 105 5
L 105 2
L 106 5
L 106 7
L 107 9
L 107 7
L 108 9
L 108 11
L 109 13
L 109 11
L 110 13
L 110 15
L 111 17
L 111 15
L 112 17
L 112 19
L 113 21
L 113 19
L 114 21
L 114 23
L 115 24
L 115 23
L 116 24
L 116 25
L 117 25
L 117 26
L 118 26
L 118 27
L 119 28
L 119 27
L 120 28
L 120 29
L 121 29
L 121 30
L 122 30
L 122 31
L 123 32
L 123 31
L 124 32
L 124 33
L 125 33
L 125 34
L 126 34
L 126 35
L 127 36
L 127 35
L 128 36
L 128 37
L 129 37
L 129 38
L 130 38
L 130 39
L 131 40
L 131 39
L 132 40
L 132 41
L 133 41
L 133 42
L 134 42
L 134 43
L 135 44
L 135 43
L 136 44
L 136 45
L 137 45
L 137 46
L 138 46
L 138 47
L 94 93
L 95 93
L 96 95
L 97 96
L 98 97
L 99 98
L 100 99
L 101 100
L 102 101
L 103 102
L 104 103
L 106 105
L 107 106
L 108 107
L 109 108
L 110 109
L 111 110
L 112 111
L 113 112
L 114 113
L 116 115
L 117 116
L 118 117
L 119 118
L 120 119
L 121 120
L 122 121
L 123 122
L 124 123
L 125 124
L 126 125
L 127 126
L 128 127
L 129 128
L 130 129
L 131 130
L 132 131
L 133 132
L 134 133
L 135 134
L 136 135
L 137 136
L 138 137
L 139 72
L 139 68
L 139 69
L 139 71
L 140 72
L 140 73
L 141 67
L 141 68
L 142 73
L 142 74
L 143 66
L 143 67
L 144 65
L 144 66
L 145 74
L 145 75
L 146 76
L 146 75
L 147 64
L 147 65
L 148 76
L 148 77
L 149 64
L 149 63
L 140 139
L 141 139
L 141 140
L 142 140
L 143 141
L 144 143
L 145 142
L 146 145
L 147 144
L 148 146
L 149 147
L 150 23
L 150 115
L 151 114
L 151 23
L 152 113
L 152 114
L 153 112
L 153 113
L 154 112
L 154 111
L 155 116
L 155 117
L 156 117
L 156 118
L 157 118
L 157 119
L 158 110
L 158 111
L 151 150
L 153 152
L 154 153
L 156 155
L 157 156
L 158 154
L 159 116
L 159 115
L 159 155
L 160 150
L 160 115
L 161 152
L 161 114
L 161 151
L 162 152
L 162 153
L 163 153
L 163 154
L 164 158
L 164 154
L 165 156
L 165 155
L 166 156
L 166 157
L 167 120
L 167 157
L 167 119
L 160 159
L 163 162
L 164 163
L 166 165
L 168 152
L 168 161
L 168 162
L 169 165
L 169 155
L 169 159
L 170 160
L 170 159
L 171 157
L 171 166
L 171 167
L 172 140
L 172 141
L 172 142
L 172 143
L 173 144
L 173 147
L 174 145
L 174 142
L 175 144
L 175 143
L 176 145
L 176 146
L 177 148
L 177 146
L 178 149
L 178 62
L 178 63
L 179 149
L 179 147
L 170 169
L 174 172
L 175 172
L 175 173
L 175 174
L 176 174
L 177 176
L 179 173
L 180 176
L 180 173
L 180 174
L 180 175
L 181 176
L 181 177
L 182 177
L 183 179
L 183 173
L 184 149
L 184 178
L 184 179
L 185 148
L 185 77
L 185 78
L 186 177
L 186 148
L 187 60
L 187 62
L 187 178
L 181 180
L 182 181
L 183 180
L 183 181
L 186 185
L 186 182
L 188 184
L 188 179
L 188 183
L 189 181
L 189 182
L 189 183
L 190 184
L 190 178
L 190 187
L 191 182
L 192 182
L 192 186
L 193 185
L 193 186
L 194 185
L 194 78
L 194 79
L 189 188
L 191 189
L 192 191
L 193 192
L 194 193
L 195 184
L 195 188
L 195 190
L 196 188
L 196 189
L 196 191
L 197 60
L 197 59
L 197 187
L 198 190
L 198 187
L 199 191
L 200 192
L 200 191
L 201 192
L 201 193
L 202 193
L 202 194
L 203 80
L 203 194
L 203 79
L 196 195
L 198 197
L 199 196
L 200 199
L 201 200
L 202 201
L 203 202
L 204 198
L 204 190
L 204 195
L 205 195
L 205 196
L 205 199
L 206 160
L 206 150
L 205 204
L 207 150
L 207 206
L 207 151
L 208 22
L 208 48
L 209 22
L 210 94
L 210 22
L 211 92
L 211 47
L 212 47
L 213 47
L 213 138
L 209 208
L 210 209
L 211 212
L 213 212
L 214 209
L 215 209
L 215 208
L 216 211
L 216 212
L 217 212
L 215 214
L 217 216
L 218 214
L 218 215
L 219 214
L 220 216
L 220 217
L 221 217
L 219 218
L 221 220
L 222 218
L 222 219
L 223 219
L 224 220
L 224 221
L 225 221
L 223 222
L 225 224
L 226 222
L 226 223
L 227 223
L 228 224
L 228 225
L 229 225
L 227 226
L 229 228
L 230 227
L 231 226
L 231 227
L 232 228
L 232 229
L 233 229
L 231 230
L 233 232
L 234 230
L 235 230
L 235 231
L 236 232
L 236 233
L 237 233
L 235 234
L 237 236
L 238 234
L 238 235
L 239 236
L 239 237
L 240 238
L 241 239
L 242 240
L 243 241
L 244 242
L 245 243
L 246 238
L 246 240
L 246 234
L 247 242
L 247 240
L 248 242
L 248 244
L 249 244
L 250 237
L 250 239
L 250 241
L 251 243
L 251 241
L 252 243
L 252 245
L 253 245
L 247 246
L 248 247
L 249 248
L 251 250
L 252 251
L 253 252
L 254 249
L 254 244
L 255 245
L 255 253
L 256 253
L 256 255
L 257 255
L 258 249
L 258 254
L 259 254
L 257 256
L 259 258
L 260 259
L 260 258
L 261 259
L 262 257
L 263 257
L 263 256
L 264 209
L 264 214
L 264 210
L 265 214
L 265 219
L 266 219
L 266 223
L 267 212
L 267 217
L 267 213
L 268 217
L 268 221
L 269 225
L 269 221
L 270 225
L 270 229
L 271 229
L 271 233
L 272 227
L 272 223
L 273 230
L 273 227
L 261 260
L 263 262
L 265 264
L 266 265
L 268 267
L 269 268
L 270 269
L 271 270
L 272 266
L 273 272
L 274 261
L 275 260
L 275 261
L 276 262
L 276 263
L 277 262
L 278 93
L 278 95
L 279 96
L 279 95
L 280 136
L 280 137
L 281 136
L 281 135
L 275 274
L 277 276
L 279 278
L 281 280
L 282 278
L 282 279
L 283 278
L 284 280
L 284 281
L 285 280
L 283 282
L 285 284
L 286 282
L 286 283
L 287 283
L 288 285
L 288 284
L 287 286
L 289 285
L 289 288
L 290 286
L 290 287
L 291 287
L 292 288
L 292 289
L 293 289
L 291 290
L 293 292
L 294 291
L 294 287
L 295 289
L 295 293
L 296 291
L 296 294
L 297 295
L 297 293
L 298 294
L 298 296
L 299 295
L 299 297
L 300 297
L 301 296
L 300 299
L 301 298
L 302 298
L 302 301
L 303 301
L 304 299
L 304 300
L 305 300
L 303 302
L 305 304
L 306 303
L 307 303
L 307 302
L 308 305
L 309 304
L 309 305
L 307 306
L 309 308
L 310 306
L 310 307
L 311 306
L 312 309
L 312 308
L 313 308
L 311 310
L 313 312
L 314 311
L 315 311
L 315 310
L 316 312
L 316 313
L 317 313
L 315 314
